,Name,Title,Cusip,Ticker,Category,Value,Pct
105,Lineage Inc,LINEAGE INC,53566V106,None,CORP EC,65888204,0.4
106,PulteGroup Inc,PULTEGROUP INC,745867101,None,CORP EC,62269347,0.4
107,Freeport-McMoRan Inc,FREEPORT-MCMORAN INC,35671D857,None,CORP EC,53585491,0.3
108,Wolfspeed Inc,WOLFSPEED INC,977852102,None,CORP EC,48057681,0.3
109,Open Lending Corp,OPEN LENDING CORP,68373J104,None,CORP EC,43428652,0.3
110,Norwegian Cruise Line Holdings Ltd,NORWEGIAN CRUISE LINE HOLDINGS LTD,000000000,None,CORP EC,42452982,0.3
111,Ascot Group Ltd,Gallop Holdings LP - Ascot Group PP,TC4AKPAK5,None,CORP EC,39851951,0.3
112,News Corp,NEWS CORP,65249B208,None,CORP EC,37121648,0.2
113,Wolfspeed Inc,WOLFSPEED INC,977852AD4,None,CORP DBT,37095601,0.2
114,Wolfspeed Inc,WOLFSPEED INC,977852AB8,None,CORP DBT,10179517,0.1
