,Name,Title,Cusip,Ticker,Category,Value,Pct
197,QinetiQ Group PLC,QINETIQ GROUP PLC,000000000,None,CORP EC,12279547,0.2
198,YTO EXPRESS GROUP CO LTD,YTO EXPRESS GROUP CO LTD,000000000,600233,CORP EC,12251323,0.2
199,N/A,WUXI XINJE ELECTRIC CO LTD,000000000,None,CORP EC,12090873,0.2
200,Alphamin Resources Corp,ALPHAMIN RESOURCES CORP,000000000,None,CORP EC,11973474,0.2
201,Adesso SE,ADESSO SE,000000000,None,CORP EC,11957238,0.2
202,Oji Holdings Corp,OJI HOLDINGS CORP,000000000,None,CORP EC,11822703,0.2
203,IQE PLC,IQE PLC,000000000,None,CORP EC,11801767,0.2
204,Airtac International Group,AIRTAC INTERNATIONAL GROUP,000000000,None,CORP EC,11786596,0.2
205,FUYAO GLASS INDUSTRY GROUP CO LTD,FUYAO GLASS INDUSTRY GROUP CO LTD,000000000,600660,CORP EC,11520654,0.2
206,Open House Group Co Ltd,OPEN HOUSE GROUP CO LTD,000000000,None,CORP EC,11488977,0.2
207,Seadrill Ltd,SEADRILL LTD,000000000,None,CORP EC,11325167,0.2
208,BEIJING HUAFENG TEST & CONTROL TECHNOLOGY CO LTD,BEIJING HUAFENG TEST & CONTROL TECHNOLOGY CO LTD,000000000,688200,CORP EC,11315166,0.2
209,dentalcorp Holdings Ltd,DENTALCORP HOLDINGS LTD,24874B108,None,CORP EC,11217960,0.2
210,Nissan Chemical Corp,NISSAN CHEMICAL CORP,000000000,None,CORP EC,10957792,0.2
211,BRP Inc,BRP INC,000000000,None,CORP EC,10946459,0.2
212,Pilbara Minerals Ltd,PILBARA MINERALS LTD,000000000,None,CORP EC,10874162,0.2
213,Elite Material Co Ltd,ELITE MATERIAL CO LTD,000000000,None,CORP EC,10811670,0.2
214,King Yuan Electronics Co Ltd,KING YUAN ELECTRONICS CO LTD,000000000,None,CORP EC,10728591,0.2
215,RUIJIE NETWORKS CO LTD,RUIJIE NETWORKS CO LTD,000000000,301165,CORP EC,10217157,0.2
216,Yue Yuen Industrial Holdings Ltd,YUE YUEN INDUSTRIAL HOLDINGS LTD,000000000,None,CORP EC,10101734,0.2
217,SKAN Group AG,SKAN GROUP AG,000000000,None,CORP EC,10024910,0.2
218,China Resources Gas Group Ltd,CHINA RESOURCES GAS GROUP LTD,000000000,None,CORP EC,9946461,0.2
219,DONGGUAN YIHEDA AUTOMATION CO LTD,DONGGUAN YIHEDA AUTOMATION CO LTD,000000000,301029,CORP EC,9690422,0.2
220,Ariston Holding NV,ARISTON HOLDING NV,000000000,None,CORP EC,9672162,0.2
221,Syncona Ltd,SYNCONA LTD,000000000,None,RF EC,9363695,0.2
222,Intelbras SA Industria de Telecomunicacao Eletronica Brasileira,INTELBRAS SA INDUSTRIA DE TELECOMUNICACAO ELETRONICA BRASILEIRA,000000000,None,CORP EC,9235298,0.2
223,HDGF,WUS PRINTED CIRCUIT KUNSHAN CO LTD,000000000,002463,CORP EC,9093022,0.2
224,KEI Industries Ltd,KEI INDUSTRIES LTD,000000000,None,CORP EC,9038143,0.2
225,Fuso Chemical Co Ltd,FUSO CHEMICAL CO LTD,000000000,None,CORP EC,8953999,0.2
